Month ,Generation,Maximum Temperature,Mean Temperature,Total Cloud Cover,Rain Days,Humidity,Soil Water Content,Vegetation,Soil Temperature,U Wind Component,V Wind Component,Temperature,Dew Point Temperature,Evaporation,Precipitation,Skin Temperature,Surface Solar Radiation
18-Apr,3624,36.495,30.44931507,3.51369863,9,46.97931034,0.247702,2.29971,307.242,2.24122,0.312886,304.506,278.95,-0.000945593,0.000079,306.895,2
18-May,3543,36.87333333,29.52207792,4.902597403,9,61.09090909,0.247445,2.29971,310.673,3.32964,1.06184,307.4,283.227,-0.000859548,0.0000397,310.237,1.64
18-Jun,2806,29.84,25.872,6.58,18,75.51333333,0.30015,2.30646,307.712,3.87115,1.75501,304.38,292.795,-0.00126073,0.00412284,306.715,0.911
18-Jul,2633.0208,28.2,24.83116883,7.201298701,24,76.19607843,0.461052,2.33031,299.967,3.3747,1.57743,298.642,296.157,-0.00262012,0.0174799,299.044,0.96
18-Aug,2716.1614,28.4983871,24.48645161,6.896774194,22,76.98064516,0.467018,2.37506,298.847,3.20733,1.2584,297.878,295.607,-0.00265599,0.00750357,298.06,1.05
18-Sep,3328.5875,31.30666667,26.26216216,5.418918919,7,61.07482993,0.445362,2.38745,298.128,2.44206,0.701803,297.537,293.559,-0.00337086,0.0048262,297.317,1.65
18-Oct,3812.9383,31.77096774,27.17935484,3.387096774,2,50.69032258,0.281401,2.33963,299.533,0.290443,-0.316619,299.198,285.876,-0.00299642,0.0000349,298.712,1.65
18-Nov,3511.4336,31.05166667,27.19833333,3.083333333,0,50.40677966,0.247214,2.31929,298.403,-0.880905,-0.822185,296.493,282.637,-0.00130943,0.000000815,297.411,1.65
18-Dec,3473.8386,29.76451613,25.55967742,2.709677419,0,49.28688525,0.247789,2.32362,292.891,-1.5365,-0.778135,290.578,278.133,-0.000771146,0.0000153,291.546,1.6
19-Jan,3607.6939,30.05645161,25.9266129,0.967741935,0,40.57258065,0.247817,2.32343,292.074,-1.07056,-0.582852,289.889,277.87,-0.000687312,0.0000181,291.006,1.85
19-Feb,3643.3284,32.81964286,29.16607143,1.339285714,0,35.58928571,0.24999,2.31525,294.849,0.117748,-0.106301,292.692,279.266,-0.000752372,0.0000892,294.17,1.98
19-Mar,3920.2896,36.74516129,32.16065574,1.401639344,2,43.09836066,0.248429,2.30568,299.913,0.421127,-0.468625,297.519,279.067,-0.00090044,0.0000374,299.524,2.11
19-Apr,3558.5807,37.83666667,31.27248322,2.644295302,8,47.38255034,0.269804,2.29971,306.224,2.23571,0.242586,303.923,280.592,-0.00143261,0.000571976,305.942,2.05
19-May,3421.971,38.27419355,31.45490196,3.441558442,4,49.48366013,0.251962,2.29971,308.783,3.08068,1.00268,305.582,284.831,-0.000903066,0.000165793,308.378,1.98
19-Jun,3044.628,32.47333333,27.62013423,6.060402685,13,70.7852349,0.321793,2.30646,307.54,3.34046,1.2565,304.616,292.916,-0.00208309,0.00320204,306.735,1.27
19-Jul,2439.0268,28.20645161,25.07581699,6.774193548,23,75.82352941,0.432632,2.33031,301.131,3.37827,1.84464,299.798,296.252,-0.00323066,0.00937633,300.237,0.888
19-Aug,2639.195,27.95322581,24.67662338,6.709677419,23,76.26623377,0.4702,2.37506,298.956,2.52046,0.954174,298.027,296.299,-0.00243389,0.0189594,298.239,0.886
19-Sep,2734.772,27.86333333,25.26938776,6.605442177,18,72.72108844,0.474122,2.38745,299.23,0.932087,0.338228,298.25,296.437,-0.00254081,0.012326,298.556,1.16
19-Oct,2894.004,29.23225806,25.10580645,6.006451613,17,70.06451613,0.385168,2.33963,297.99,-1.06688,-0.550697,297.355,290.794,-0.0031961,0.00261841,297.114,1.21
19-Nov,2926.5,29.82333333,26.64,3.625,1,55.25,0.338725,2.31929,297.453,-1.0708,-0.17589,296.659,288.476,-0.002346,0.000857897,296.702,1.65
19-Dec,3075.855,28.05483871,25.24793388,3.786885246,2,52.02479339,0.256406,2.32362,293.454,-1.81572,-1.04668,291.28,282.171,-0.00113192,0.0000708,292.242,1.48
20-Jan,3514.439,30.70806452,26.57419355,1.85483871,0,45.5483871,0.253224,2.32343,292.045,-0.995817,-0.338132,289.838,281.53,-0.000865902,0.0000801,291.043,1.73
20-Feb,3429.117,32.30689655,27.95172414,1.879310345,0,41.49565217,0.247601,2.31512,295.459,-0.884917,-0.528343,293.281,280.475,-0.000981796,0.0000331,294.825,1.96
20-Mar,3877.62,35.39677419,31.29516129,2.241935484,0,46.98387097,0.25706,2.30567,299.395,0.309914,-0.0135519,296.687,282.22,-0.00113283,0.000244943,298.844,2.03
20-Apr,3629.29,36.79333333,30.66845638,2.10738255,7,51.34228188,0.2492,2.29971,305.911,1.23659,-0.436109,303.323,281.735,-0.001101,0.0000452,305.644,2.02
20-May,3438.827,35.2516129,30.10945946,4.182432432,12,62.63513514,0.247721,2.29971,309.732,2.77459,0.29891,306.74,283.378,-0.000945776,0.0000811,309.322,1.74
20-Jun,2584.244,31.26,26.90733333,6.253333333,12,74.96666667,0.367358,2.30646,305.093,2.68837,1.09729,302.635,295,-0.00286366,0.00331131,304.296,1.08
20-Jul,2165.741,28.74677419,25.25290323,6.793548387,23,81.07142857,0.426213,2.33031,302.248,2.4314,1.54326,300.592,296.542,-0.0031075,0.00380114,301.472,0.857
20-Aug,2302.295,27.80322581,24.73246753,6.928571429,18,83.30519481,0.4681,2.37506,299.633,2.36428,1.34844,298.54,296.564,-0.00249951,0.0198043,298.847,0.957
20-Sep,2729.331,28.54333333,25.31836735,6.360544218,22,80.14383562,0.451939,2.38745,300.667,1.50374,0.10581,299.585,296.186,-0.00386429,0.00318617,299.97,1.11
20-Oct,3054.002,29.76129032,25.69096774,5.238709677,10,73.77419355,0.297903,2.33963,299.898,-0.401182,-1.3392,299.247,287.556,-0.00338535,0.000190507,298.988,1.33
20-Nov,2985.725,29.43333333,26.34957983,3.924369748,2,57.1512605,0.250661,2.31929,296.905,-1.28483,-0.867543,294.952,282.9,-0.0014316,0.0000713,295.789,1.64
20-Dec,3491.224,28.94516129,25.32357724,2.430894309,0,56.19512195,0.300498,2.32362,293.111,-1.53536,-0.550399,291.568,281.23,-0.00127562,0.000619346,291.901,1.61
21-Jan,3453.924,30.08709677,26.28629032,2.572580645,2,56.2016129,0.311832,2.32343,293.039,-1.33286,-0.302636,291.437,282.633,-0.00132855,0.00067301,292.147,1.65
21-Feb,3429.167,31.25714286,27.31607143,1.4375,1,44.33928571,0.248443,2.31525,296.248,0.0517371,-0.19096,294.379,279.264,-0.000945977,0.00000108,295.712,1.95
21-Mar,3879.767,35.1483871,31.85,1.491935484,0,36.82258065,0.249461,2.30568,301.786,1.18937,0.281984,299.76,279.298,-0.00100395,0.0000666,301.34,2.07
21-Apr,3651.779,36.48333333,30.18378378,2.52027027,7,53.05405405,0.247148,2.29971,306.286,1.44473,0.0983927,303.503,277.308,-0.000914878,0.0000494,305.842,1.97
21-May,3108.724,32.75322581,28.34771242,5.013071895,14,67.37254902,0.295988,2.29971,306.291,2.25545,0.862356,303.425,288.22,-0.00194784,0.00169024,305.609,1.49
21-Jun,2894.7063,29.95666667,26.02266667,6.353333333,16,76.78666667,0.345856,2.30646,304.461,3.41915,1.42509,301.813,294.49,-0.00242705,0.00270425,303.704,1.15
