Station ,Latitude,Longitude
Bangalore Hindustan AP,12.95,77.63333333
Bangalore,12.96666667,77.58333333
Mysore,12.3,76.7
Mandya,12.5,76.83333333
Hassan,12.96666667,76.33333333
Shimoga ,13.93333333,75.63333333
Chickmagalur,13.25,75.75
Chintamani ,13.2,78.06666667
Chitradurga,14.23333333,76.43333333
Davangere,14.5,75.91666667
Haveri,14.78333333,75.4
Gadag,15.41666667,75.63333333
Dharwad,15.48333333,74.98333333
Belgaum AP,15.85,74.61666667
Belgaum,15.85,74.53333333
Raichur,16.25,77.33333333
Bagalkote,16.7,75.75
Bijapur,16.81666667,75.71666667
Gulbarga,17.35,76.85
Koppal ,15.35,76.15
Raichur ,16.25,77.33333333
Bidar,17.91666667,77.53333333
Rentachintala,16.55,79.55
Arogyavaram,13.53333333,78.5
Cuddapah,14.48333333,78.83333333
Pbo Anantapur,14.58333333,77.63333333
Kurnool,15.8,78.06666667
Nandyal,15.46666667,78.48333333
Mahabubnagar,16.75,79.3
Khammam,17.25,80.15
Bhadrachalam,17.66666667,80.88333333
Nalgonda,17.28333333,79.25
Hyderabad Airport,17.45,78.46666667
Medak,18.05,78.26666667
Hanamkonda,18.01666667,79.56666667
Sholapur,17.66666667,75.9
Jeur,18.2,75.2
Malegaon,20.55,74.53333333
Jalgaon ,21.05,75.56666667
Nasik City,19.96666667,73.81666667
Okha,22.48333333,69.11666667
Dwarka,22.36666667,69.08333333
Bhaunagar,21.75,72.2
Amreli,21.6,71.21666667
Vallabh Vidyanagar,22.56666667,72.93333333
Surendranagar,22.73333333,71.6
Deesa,24.2,72.2
Phalodi ,27.13333333,72.36666667
Jaisalmer,26.9,70.91666667
Bikaner,28.46666667,73.3
Ganganagar ,29.91666667,73.91666667
Chittorgarh,24.88333333,74.63333333
Udaipur Dabok,24.61666667,73.88333333
Shajapur,23.43333333,76.31666667
Khargone ,21.81666667,75.61666667
Khandwa,21.83333333,76.36666667
Tikamgarh,24.76666667,78.83333333
Nowgong,25.06666667,79.45
Khajuraho,24.98333333,79.91666667
Rewa,24.53333333,81.3
Jhansi,25.45,78.61666667
Orai ,25.98333333,79.5
Banda,25.46666667,80.36666667
Allahabad ,25.45,81.73333333
Kanpur,26.4,80.4
Lucknow,26.75,80.88333333
Shahjahanpur,27.88333333,79.9
Aligarh,27.88333333,78.06666667
Bareilly,28.36666667,79.4
Hissar,29.00166667,75.73333333
Mandi,31.71666667,76.96666667
Bhatinda,30.16666667,74.58333333
Manali,32.26666667,77.16666667
Durg,21.18333333,81.28333333
Jagdalpur,19.08333333,82.03333333
Koraput,18.81666667,82.71666667
Bhawanipatna,19.91666667,83.18333333
Keongjhargarh,21.61666667,85.51666667
Ranchi ,23.31666667,85.31666667
Dhubri,26.01666667,89.98333333
Aijal,23.73333333,92.75
Dibrugarh,27.48333333,95.01666667
Pasighat,28.1,95.38333333
Tondi ,9.733333333,79.03333333
Pamban,9.283333333,79.21666667
Mangalore / Bajpe,12.91666667,74.88333333
Madikeri,12.47,75.73
